"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Nigeria","NGA","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","SL.EMP.VULN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.7669973373413","79.7239971160889","80.0389995574951","79.8819971084595","80.3000020980835","80.3440027236938","80.0379981994629","80.3329992294312","79.7920036315918","79.4539976119995","79.8750019073487","82.2799997329712","81.0829973220825","79.1690034866333","78.7809982299805","77.7839965820312","77.6519975662232","77.6759977340698","77.4360027313233","76.9260005950928","75.5109977722168","75.1030006408691","74.7160024642944","74.7240018844604","74.8839979171753","74.6310033798218","74.6460037231446",
"Nigeria","NGA","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.1560020446778","86.4999980926514","87.2579965591431","87.2559976577759","87.5559968948364","87.5050010681153","87.3640012741089","88.0559988021851","87.5269966125488","86.2870006561279","87.0489978790283","89.5329980850219","89.1550025939941","87.9710035324096","88.1960000991821","87.1699962615967","87.2929992675782","87.7680034637451","87.6120014190674","86.7209978103637","86.0020027160644","85.7269992828369","85.1969976425171","85.4909982681275","86.7120018005371","86.9950008392334","87.008002281189",
"Nigeria","NGA","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.4119987487793","53.2949981689453","53.5970001220703","53.4199981689453","53.2430000305176","53.1100006103516","52.984001159668","52.8530006408691","52.757999420166","52.6290016174316","52.6360015869141","52.648998260498","52.601001739502","52.3300018310547","52.3959999084473","52.4690017700195","52.5499992370605","52.6389999389648","52.7290000915527","52.818000793457","52.9039993286133","52.9860000610352","53.0610008239746","52.5810012817383","52.7239990234375","51.2569999694824","51.2630004882813",
"Nigeria","NGA","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","56.7000007629395","","","53.7299995422363","","","","","","","","","","","","","","","","","54.7000007629395","","","","","","","","","","53.2246017456055","","69.1307983398438","69.3168029785156","",
"Nigeria","NGA","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.7849998474121","61.6119995117188","61.9739990234375","61.6500015258789","61.3380012512207","61.0940017700195","60.8569984436035","60.6020011901855","60.4210014343262","60.1459999084473","60.1580009460449","60.185001373291","60.0110015869141","59.2290000915527","59.0800018310547","58.9280014038086","58.7709999084473","58.6040000915527","58.4290008544922","58.2430000305176","58.0260009765625","57.8089981079102","57.5820007324219","56.8619995117188","56.9869995117188","55.3199996948242","55.2299995422363",
"Nigeria","NGA","Employment to population ratio, 15+, male (%) (national estimate)","SL.EMP.TOTL.SP.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","78.879997253418","","","75.120002746582","","","","","","","","","","","","","","","","","62.2000007629395","","","","","","","","","","56.7218017578125","","","","",
"Nigeria","NGA","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.0849990844727","45.0190010070801","45.257999420166","45.2229995727539","45.1749992370605","45.1459999084473","45.1220016479492","45.1069984436035","45.0900001525879","45.0979995727539","45.0940017700195","45.0859985351563","45.1590003967285","45.3940010070801","45.6730003356934","45.9669990539551","46.2849998474121","46.6259994506836","46.9790000915527","47.3419990539551","47.7309989929199","48.1129989624023","48.4900016784668","48.2509994506836","48.4109992980957","47.1450004577637","47.2459983825684",
"Nigeria","NGA","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","35.2200012207031","","","33.4799995422363","","","","","","","","","","","","","","","","","47.4000015258789","","","","","","","","","","50.0293006896973","","","","",
"Nigeria","NGA","Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.9160003662109","83.5800018310547","84.0500030517578","84.0100021362305","84.3199996948242","84.2669982910156","84.0780029296875","84.5149993896484","84.0800018310547","83.2929992675781","83.7789993286133","86.0550003051758","85.3460006713867","83.7900009155273","83.7630004882813","82.8379974365234","82.806999206543","83.0220031738281","82.8160018920898","82.1269989013672","81.2770004272461","80.9940032958984","80.5640029907227","80.6660003662109","81.3550033569336","81.495002746582","81.5210037231445",
"Nigeria","NGA","Self-employed, male (% of male employment) (modeled ILO estimate)","SL.EMP.SELF.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.0630035400391","80.9879989624023","81.2639999389648","81.1589965820313","81.504997253418","81.4820022583008","81.2269973754883","81.4820022583008","81.0559997558594","80.6470031738281","80.9759979248047","83.1910018920898","82.1510009765625","80.2559967041016","79.9599990844727","79.0449981689453","78.879997253418","78.8710021972656","78.6019973754883","78.056999206543","76.9100036621094","76.5490036010742","76.1589965820313","76.1070022583008","76.3119964599609","76.2170028686523","76.234001159668",
"Nigeria","NGA","Self-employed, female (% of female employment) (modeled ILO estimate)","SL.EMP.SELF.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.8030014038086","87.1100006103516","87.8470001220703","87.8820037841797","88.1289978027344","88.0270004272461","87.9179992675781","88.5869979858398","88.1340026855469","86.8259963989258","87.5279998779297","89.8899993896484","89.6100006103516","88.4260025024414","88.7109985351563","87.7320022583008","87.8300018310547","88.2809982299805","88.1019973754883","87.1809997558594","86.6389999389648","86.390998840332","85.8509979248047","86.1009979248047","87.3610000610352","87.7639999389648","87.7779998779297",
"Nigeria","NGA","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02100002765656","0.986999988555908","0.955999970436096","1","0.936999976634979","0.875","0.917999982833862","0.884999990463257","0.982999980449677","0.912999987602234","0.834999978542328","0.674000024795532","0.805000007152557","0.814000010490417","0.890999972820282","0.955999970436096","0.925000011920929","0.893999993801117","0.86599999666214","0.830999970436096","1.057000041008","1.09300005435944","1.08500003814697","1.02999997138977","1.07299995422363","1.21300005912781","1.21300005912781",
"Nigeria","NGA","Employers, male (% of male employment) (modeled ILO estimate)","SL.EMP.MPYR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2960000038147","1.26400005817413","1.22500002384186","1.27600002288818","1.20500004291534","1.13800001144409","1.18799996376038","1.14900004863739","1.26400005817413","1.192999958992","1.10099995136261","0.91100001335144","1.06900000572205","1.08800005912781","1.17900002002716","1.2610000371933","1.22800004482269","1.19400000572205","1.16499996185303","1.13100004196167","1.39999997615814","1.44599997997284","1.442999958992","1.38199996948242","1.42799997329712","1.58700001239777","1.58800005912781",
"Nigeria","NGA","Employers, female (% of female employment) (modeled ILO estimate)","SL.EMP.MPYR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.647000014781952","0.610000014305115","0.58899998664856","0.625999987125397","0.573000013828278","0.521000027656555","0.554000020027161","0.529999971389771","0.60699999332428","0.538999974727631","0.479999989271164","0.358000010251999","0.453999996185303","0.453999996185303","0.514999985694885","0.561999976634979","0.537000000476837","0.513000011444092","0.490000009536743","0.458999991416931","0.635999977588654","0.663999974727631","0.653999984264374","0.610000014305115","0.648999989032745","0.768999993801117","0.768999993801117",
"Nigeria","NGA","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","SL.EMP.1524.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.0390014648438","35.7849998474121","35.2430000305176","34.7970008850098","34.2779998779297","34.109001159668","33.859001159668","33.5470008850098","33.2290000915527","32.9000015258789","32.9930000305176","33.0299987792969","33.064998626709","33.0789985656738","31.6110000610352","30.1790008544922","28.7870006561279","27.4409999847412","26.1340007781982","24.8759994506836","23.6870002746582","22.5319995880127","21.4190006256104","21.6620006561279","21.6520004272461","20.4179992675781","20.0639991760254",
"Nigeria","NGA","Employment to population ratio, ages 15-24, total (%) (national estimate)","SL.EMP.1524.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1991004943848","","","","",
"Nigeria","NGA","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","SL.EMP.1524.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.3660011291504","39.0509986877441","38.4129981994629","37.8289985656738","37.1669998168945","36.9599990844727","36.6290016174316","36.2220001220703","35.7970008850098","35.3969993591309","35.5219993591309","35.5919990539551","35.6279983520508","35.6469993591309","34.2239990234375","32.8310012817383","31.4650001525879","30.128999710083","28.82200050354","27.548999786377","26.3139991760254","25.1149997711182","23.9519996643066","24.1749992370605","24.125","22.8980007171631","22.5310001373291",
"Nigeria","NGA","Employment to population ratio, ages 15-24, male (%) (national estimate)","SL.EMP.1524.SP.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.4857006072998","","","","",
"Nigeria","NGA","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","SL.EMP.1524.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6399993896484","32.4459991455078","31.9979991912842","31.6900005340576","31.3139991760254","31.181999206543","31.011999130249","30.7959995269775","30.5869998931885","30.3290004730225","30.3880004882813","30.3920001983643","30.4249992370605","30.4330005645752","28.9200000762939","27.44700050354","26.0270004272461","24.6720008850098","23.3659992218018","22.1229991912842","20.9820003509521","19.871000289917","18.8090000152588","19.0729999542236","19.1030006408691","17.8610000610352","17.5179996490479",
"Nigeria","NGA","Employment to population ratio, ages 15-24, female (%) (national estimate)","SL.EMP.1524.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.7045001983643","","","","",
"Nigeria","NGA","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.0069999694824","58.3009986877441","58.4199981689453","59.0209999084473","59.181999206543","58.9809989929199","58.814998626709","59.0540008544922","59.0970001220703","57.2960014343262","57.5730018615723","60.6510009765625","58.1990013122559","51.9220008850098","51.1500015258789","49.5660018920898","48.6049995422363","44.023998260498","40.4309997558594","30.57200050354","33.1370010375977","35.943000793457","38.2709999084473","36.7799987792969","36.382999420166","36.298999786377","36.5480003356934",
"Nigeria","NGA","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","SL.AGR.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.4000015258789","62.8209991455078","62.5979995727539","62.6389999389648","62.5180015563965","62.0219993591309","61.6500015258789","61.5050010681152","63.3349990844727","61.9329986572266","61.9379997253418","64.2399978637695","62.3120002746582","57.0040016174316","56.2999992370605","54.851001739502","54.0229988098145","50.5439987182617","48.0250015258789","39.5309982299805","42.1870002746582","44.6940002441406","46.6720008850098","45.2470016479492","44.826000213623","44.8959999084473","45.2620010375977",
"Nigeria","NGA","Adjusted savings: particulate emission damage (% of GNI)","NY.ADJ.DPEM.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.68950392487155","1.67987606673505","1.63901605383187","1.77634649996316","1.84579223732951","1.7762738762955","1.6815649373338","1.70166302183098","1.75526744193632","1.62168393107043","1.65732393198297","1.52720961299328","1.572595901943","1.45141870480025","1.19288638032401","1.25849332277237","1.16952753464774","1.1836974348361","1.15924692176749","1.1161342982831","1.17725252883134","1.27342089444793","1.36876348513517","1.45159265693675","1.45219053704068","1.41136850468587","1.4175530758326","",
"Nigeria","NGA","Adjusted savings: particulate emission damage (current US$)","NY.ADJ.DPEM.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","470856973.697991","418905757.068399","431904161.246791","238788366.285522","290401592.559451","467628336.15102","550831931.208887","571523654.751721","512154529.213117","557779754.735654","666872876.108104","611537232.355086","833780603.578957","870794646.550006","930302504.933479","1244412961.71017","1646542730.20451","1830031745.17966","2236303236.78166","1729092932.21421","4115121532.1058","4954727889.78955","6006325799.66106","7104747679.74406","7980193614.38892","6610977099.11401","5612858105.88221","",
"Nigeria","NGA","Adjusted savings: energy depletion (% of GNI)","NY.ADJ.DNGY.GN.ZS","","","","","","","","","","","0","3.58507017734256E-05","1.87265384639286","5.33621470329035","22.8606154248179","14.1556109367885","14.374727364448","16.2170877377154","13.5488189746189","33.2598524399752","23.1031757794324","10.236123295819","6.62431546987296","10.5664760278792","15.8237425669066","19.0065216165092","11.5714165584455","15.3485550468884","13.6165732356365","28.7967680379741","32.3012763230501","20.6067432755647","21.5283698298832","39.0881724310801","28.1328124010289","18.1776853758542","20.9032673424861","19.7856270834818","9.3394141366693","12.2934471006085","21.1684309391444","16.1231559810855","9.9404075414499","10.7117091632654","14.5418595383743","17.9105962674682","13.8481665380887","13.2908395276319","12.923275926213","7.70439929376619","6.51904995749425","8.83872970575908","7.57930139455944","5.6883027270757","4.40623048804797","1.58131048250483","1.69139856850657","",
"Nigeria","NGA","Adjusted savings: energy depletion (current US$)","NY.ADJ.DNGY.CD","","","","","","","","","","","0","3053.33764473997","212078568.870299","751937373.094244","5482491318.92744","3841671715.26861","5099087933.71164","5783862622.41614","4929079561.15315","15618431104.1473","14111171974.8137","6091591901.2526","3333753384.06768","3674491069.32647","4385801595.4792","5293455815.50933","2232986348.02837","3330386308.39182","3099370042.55798","6377087043.4821","9002217155.08014","5138643000.81491","5673033215.65891","5254493330.04456","4426182621.86168","4785523719.52653","6847304474.06543","6645236898.983","2725068064.28062","4228343006.46179","8517738838.29253","6456160373.54379","5270342488.80506","6426607955.3218","11340835621.9691","17710207709.4028","19496418223.9789","20548036634.9048","24930291589.2575","11935501297.9167","22787534697.9199","34390436637.5439","33259035621.522","27841113282.5357","24213470276.3603","7407000617.99606","6697160287.94449","",
"Nigeria","NGA","Adjusted savings: mineral depletion (% of GNI)","NY.ADJ.DMIN.GN.ZS","","","","","","","","","","","0.0112681389427506","0.000126146212396706","0.000179629052019311","0.000436838743656269","0.0107082320471618","0.00969641034850152","0.0104437444352884","0.0458858097848082","0.0498967818428882","0.0548906510542297","0.014229831335021","0.00721081396294564","0.00606296132852795","0.00798834898680133","0.00545585234405434","0.00454451492474948","9.02939867583276E-06","3.93649147432007E-05","0","0","0","0","0","0.00212476158995494","0.00322398339253438","0.000345183986805468","0.000351671398159125","7.8955658320311E-05","0","0","8.98603184185335E-05","0.000105306618900799","0.000108728686838154","0.000113033476436254","7.27690589410179E-05","0.000339155327637111","0.000698763764122613","0.00394139459699005","0.00317835994076832","0.0161982761892281","0.0238197966721216","0.0246262867275868","0.0348139291578107","0.0351564888622624","0.0307494493630808","0.034662817420273","0.053435168121373","",
